formula,target
I4Tl2Zn1,2.9784
Ag2O1,0.0857
O6Pb1Se2,1.2612
Ce1Se2Tl1,0.4651
As1S4Tl3,1.6504
F5P1,7.0791
C1Na2O3,3.8665
N2S1Zr2,0.5506
Ag1Fe2S3,0.6681
Cl3P1,4.045
Ca1F2,7.1318
Ge1O6Se2,2.7302
Mn1O4Rb1,2.1241
F2Pb1,4.3688
Co1O4P1,1.3666
Ba3O9Ru2Y1,0.5997
Cl18K2Mn1Nb6,1.0828
Nd1Rb1Te4,0.1533
As1K1Mg1,1.146
C1Cl5H6Hg2N3,2.5564
Ga2Te5,0.8725
B1C3H9O3,5.6639
Cl2Hg4O2,1.8541
Pb1Se1,0.3984
Fe1Li1O6Si2,2.5664
Cu1Nd3S7Si1,1.6001
Br1In1Sb2Se4,1.1127
F6Rb2Zr1,6.6527
F5K1Pd2,1.8219
Bi1Mn2O5,0.5734
K6S22Ta4,1.8048
S2Zr1,1.0036
Ba4Mn3O12Pr1,1.5852
K1S8V5,0.7304
B1O4P1,7.2429999999999986
As2Mg1Si1,1.2634
Li1O6Ru1Sr3,1.3658
H8K4O4P2Se6,1.8486
Br4Fe1Li2,3.1495
Na2O9Te4,3.0894
Ba1Fe1La2S5,0.9455
C2Dy1K1O6,4.2994
Ba1Hg1S4Sn1,1.6997
Ba1K1Nb1S4,2.2067
Ba1Ce1N2,0.5181
I1N1Zn2,1.8644
Cs1F3Ni1,4.1472
Cl18K2W6,1.1124
K1O4Re1,4.0539
Mo3O14P2Sr1,0.9366
H2Na2Ni3O10P2,3.4837
As2Ba1Co2O8,2.8075
F5K1Te1,5.2131
Ga1H4Na1,4.6551
As1Fe1Te1,0.9854
As1O4Sb1,3.0616
H8N2S4W1,2.1012
Se2Zr1,0.3199
He1,17.514
Al2S3,3.0862
K2Ni1P2,1.2807
N3Tl1,1.8052
C4H12I3O2S2Tl1,1.7027
K1O12P4Y1,5.3731
Bi1O4P1,4.2136
F4Li1Lu1,7.7314
Mg1S1,2.7703
O8P2Pb3,3.5098
Ni2O7P2,0.8271
F6K2Si1,7.2181
Na1O12P3Zr2,4.2046
C1Mg1O3,4.9621
F4Pb1Sn1,3.5969
Al1K3O3,2.8977
As1Ho1S1,0.0628
C6Co1Cs2Li1N6,5.1017
Ga1H4Rb1,4.924
Cl5Mo1,0.8182
C1F2N1O2P1,5.8972
Li2Se1,2.9754
Fe1O4P1,2.7613
Mn2Na2S3,2.0486
Al2O4Zn1,4.4912
Ca3Li1O6Ru1,1.2638
Ga2In6O8Pt1,0.6175
As2Cs2Sn1,0.7152
H1Ho1O2,4.2781
Eu1K1P1Se4,1.2276
Ba1C1O3,4.4355
Ca1H2,3.0266
Ce1In1O3,1.0708
Cd1Ho2Se4,0.6415
O4V1Y1,2.8115
Li8O6Sn1,3.4360000000000004
Bi1Li1O4Pd2,1.1347
O8Rb3Ta1,2.9905
Ga6I2Li8O24Si6,3.4964
Cl1Ga1Te1,2.1611
O6Sc2Te1,3.0802
Mo1O6Sr2Zn1,2.1638
C60,0.9463
Sc1Se2Tl1,0.7382
Ba4Mg1N6Si2,1.1383
Br5In1Sn2,2.2671
O12Se4,2.412
B1Mn1O4Pb1,0.6775
B2Mg2O5,5.0801
Ba2Er1O6Sb1,3.363
Cr2K2O7,2.5016
K3Li2Nb5O15,1.9139
Cl4I2O6Pb3,3.3284
O5Ti3,0.2171
Br1Cl14P3,1.5632
Ba2Fe1O6U1,1.9266
Au2F11H1Mg1,2.068
Dy2O3,3.9311
Be1C4Cl2H16O4S2,4.4739
Cl2Re6S8,1.1972
Ga1La1O3,3.395
Al1F6Na3,5.8322
Cd1Cu2Se4Si1,0.634
La2O2Se1,2.3366
Ce1O2,2.4137
K2Pd3S6U1,1.3353
O4Tm1V1,1.755
Bi1Cu1O1Se1,0.5414
Cl3Cu1K2,2.695
Cl4Co1N1O3Rb3,3.1699
Ni1S1,0.2667
Fe1Na1O6Si2,2.6722
C2Hg1N2,4.6574
C6Co1Cs2N6Na1,5.0855
O2Rb1Tl1,0.8481
H12Mg1O9S2,4.3729
K2Se5Sn2,0.8392
O8P2W1,2.0779
La2O11Te4,3.3415
Li1O6Re1Sr2,1.9741
As1C1F5N2O1S2,2.8338
N3Sr2Ta1,2.4279
Ca1I2O6,1.277
Ca2Fe2O5,0.616
Cr1S4Y2,0.5537
Nd1O2Rb1,3.5167
Br3Mn1Rb1,3.0812
Ga2S3,1.9808
Ca1Li1N1,1.3777
O3Sn1Sr1,0.3295
Ba4Cl6O1,4.3441
Pb1S1,0.4652
Ce1I4O12,2.0016
F10K1Yb3,0.9463
C2K2Pd1,1.8062
B1Ce1O5Si1,5.2394
Ba2O8Si2Ti1,4.3378
Cu3Ge5K2O14,1.4376
As1Ca1Cu1H1O5,1.3823
Cl3H4K1Mn1O2,3.9786
Ga2Se4Zn1,1.5483
Au1Ge4Rb3,0.8887
F5O1Os1,1.4731
Ru1S2,1.2705
Bi1Cl2K1O4S1,4.1932
C4F6H2O3,5.2261
Br8Cs2Re2,0.4758
Cd1K2Sn1,0.0684
H1Li1,2.9623
Ag6O8S1Si1,0.1852
F2V1,1.707
Cl1F4N1O1,1.6030000000000002
Cs4Se8Si2,1.9365
Ba2O6Ta1Y1,3.4794
As1S2Tl1,1.6971
Ba1La2O5Zn1,3.2613
F5O2S1Sb1,3.4609
Na4Se10Si4,2.4195
As3In2Na3O12,2.3427
H4Mg3O9Si2,4.2523
B1Mg1Na1O3,3.6152
F1Li1O4P1V1,1.6904
Al1F5Sr1,6.3488
Fe1O6Ta2,2.2576
Ca1S4Yb2,0.5579
Cd1Ga2S4,2.2063
O12P3Rb1Ti2,3.0077
Au1Bi1Na2,0.4665
Cl3Cs1Cu1,1.2618
Br5Rb3Zn1,3.7801
Li4O4Ti1,4.7326
As2O6Zn3,3.9907
K2O3Pb1,1.255
As1Mg1Na1,0.9766
Cl1Na1,5.0394
Pt1S1,0.8985
O5P1V1,1.8608
Cd1S1,1.1883
F1K1,6.2166
Mn1O4S1,5.8729999999999976
O4Si1Zr1,4.4644
Bi1F3,3.9499
B2Na1O5Sc1,5.0067
Cl1Rb1,4.8414
K2Re3S6,1.4182
Li1O4Rb1S1,5.1272
Fe1O3Si1,2.4851
K1O12Th2V3,3.382
K1Nb1S2,0.8306
C2F1H12N6O3P1,4.9079
C1N2,2.3267
Cl1H1Sr1,4.0055
Bi2Te3,0.3698
B4Dy1Mo1,0.3129
Br1H1O1Rb2,3.3516
Br2O1Rb4,0.5773
Co1F2,6.3069
Na2O12Sr1V4,3.0079
Nb2O6Pb1,2.7347
Li3N1,0.9844
H3N3Pb1S2,1.8888
Br1O1Pr1,3.7752
Cl3Cs1Mg1,5.104
Ge1O5Rb1Sb1,2.1482
As1F6Na1,4.9175
Cd1Te1,0.7058
S4V3,1.1802
Li2O3Te1,3.6102
Hg2P2Se6,1.1233
Mn2S4Si1,1.7003
Cl1Na1O4,4.4935
Cl2O6Pb3Te2,2.5598
Al1Cl1H6O4,5.1257
Br3Ga1Li1,2.9853
Ge1La2O5,3.8381
Cr1La3O6S3W1,1.4753
O3Pb1Se1,2.8381
Cu1F3K1,1.6858
C2Ca1Mg1O6,5.0093
As2Yb1Zn2,0.5399
Cd1Ge1Te4Tl2,0.3694
Ag1I3Rb2,2.8923
Ca4O1Sb2,0.9137
Al3Br12La1,3.4643
H2Mg1O2,4.349
Ag4S8Sn3,0.4142
Co1Mo1O6Sr2,2.1554
Fe1Ga3,0.5416
K2Mo3Se18,0.922
Ni3O8P2,2.6928
Ag1In1Se2,0.4035
Cd1Cr2S4,2.2489
Er3F10Rb1,7.2698
La1O1P1Zn1,0.8652
As2Ca4O1,1.2039
H1K1Mn1O10P3,0.7906
Pb9Rb4,0.3164
Cl2H12N4O2Ru1S1,2.506
As1O5Rb1Ti1,3.2518
Ag1Cl1O2,1.3516
Cs1I1,3.6815
B1H4Li1,6.9473
H8N2O13P4Sn1,3.3525
C2Cs1H1,4.5735
Ba1Ni2O8P2,3.4921
Al2F1H8K1O12P2,4.9908
K1O5P1Ti1,3.3542
Ag1As1F7,1.504
Al2Co3O12Si3,3.8371
Cr1F10Sb1,1.2916
Cu2Ge1S4Zn1,0.6728
C5Fe1H8N6O4,2.7817
F1K1O2S1,3.9952
Na1Se2V1,0.5612
F6W1,5.0303
Ba1Cl2,5.1303
Ba1Ho2Ni1O5,1.9959
Bi1Te2Tl1,0.4273
Cl6Cs2Pt1,2.2212
H3O4P1,5.9108
In1Na1S2,1.9155
Cd1N6,2.8309
Cl8In2Ru1Te9,1.2579
C6Cs2Fe1K1N6,0.4847
Al6C5Cl12H16O6,5.5045
Cu1F6Sn1,2.1449
B2Cs1Nb1O6,3.2844
H6K2O10Se1Te1,3.4207
C4Hg1Mn1N4S4,2.3168
Cl4S1W1,2.1406
Cl1K1O4,5.5292
Ca1H8N12O4Rb2,4.2776
Eu1S1,0.7163
K2O6S2,5.0293
Ca1Mg1Na2O8P2,5.1095
Cd1Na2S4Sn1,1.7922
Ba1C2,1.6124
Al1O2Rb1,3.3753
C1I14Zr6,0.7956
H3Na1O3Zn1,3.7181
K1N1O3,2.9665
Na1O12P3Ti2,2.8526
F4K1Na1O2W1,2.483
B2Be2O7Sr2,4.088
Se1Tl1,0.1461
Ga1K2Na1P2,1.3458
Cl4O1W1,2.0164
Co1O6Pt3,0.6013
Cs1H2O4P1,5.1461
In1Te2Tl1,0.505
Mn2O14P4Si1,4.1208
C2Ca1K2O6,4.3731
Cl2Cs1I1,2.339
Ag1F4K1,2.1487
Fe1H8O12P2Zn2,2.745
Cs1I3Mn1,2.5547
Ca1Cu3O12Ti4,1.719
Cu8Fe2O21P4,0.3317
Ge1Se1,0.7919
Al1H2Li1O5Si1,4.864
Cs1F1,5.2752
C1Fe1Na3O7P1,3.2388
Ca1Mg1O6Si2,4.9579
Dy1S2Tl1,1.5225
Cl1Cs3O1,1.596
C2Cu3H2O8,1.2392
Ga2H6O12Se3,4.0544
Mn1S1,2.0884
Cl3Cr1H12O6,3.0218
Be1H3Li1,4.4113
Cl3Fe1,2.165
B4Co1O7,3.8581
C2H12N14O1,1.9643
As2K2Ni1,0.7764
F1H2K1Li1O4P1,4.9683
Cl1In1,2.1727
K1N3O4,2.7173
B2Ba2Cl1Gd1O6,4.0014
Ga2S4Zn1,2.4489
N1O1Ta1,2.4162
Ir1Ni1O6Sr3,0.6399
Cr1F5Mn1,2.376
Ag1Al1Se2,1.5646
Cl4H13N5O2Ru1Zn1,2.7178
Ba2O8Si2V1,2.3525
Ga1Li1N2Sr1,1.9243
C12N6,3.1072
Ca1Li2N4Si2,3.4823
Cd1O9P2V2,1.4358
Al6I2Na8O24Si6,4.171
Na1O3Ta1,2.504
C1Mg1N2,3.7609
Al4H8O18Si4,4.9235
Bi1Cl3O3Sr3,4.0625
As2Eu4O1,0.247
Ca1H2O2,4.1003
C2F6Fe1H12O12S2,3.8631
Mg2Sb2Sr1,0.9757
Cl4H4N1Tl1,2.4153
C2N2S4,2.9528
Fe2Ge1O4,1.0439
Ag9Ge2I1O8,0.47
F1H4N1,5.96
Cl6Te1Tl2,2.5503
Au1Cs1O1,1.658
Cd1O2Rb2,1.3562
O2Pt1,2.0533
Cr1Li1O6Si2,3.219
Ca3O8V2,3.4342
Ag1Br1O1Pb1,0.3576
O12U1Y6,2.84
F10K1Y3,6.9441
As1O5Sb1,1.7796
Cu1K1Se1,0.4621
As2K3Nb1O9,3.4928
La2O7Ti2,3.2676
I6S1Sn4,1.391
H2Li1N1,3.1119
Ca1O2,2.7622
Cl4Co5Mo4Na2O16,2.7792
B2O12Pb6W1,2.4664
La1Mg1Na1O6W1,3.1933
Cu3S3Sb1,1.1531
Cu4Na1O12Te2Tl3,1.1282
B2O7Pb4,2.5359
Be1H2,5.4212
Ba2O5Tl2,0.5949
Hg2Mo1O4,1.9781
F5H8N2Nb1O2,4.9624
Cl2N2S1Se2,1.7491
Mo2O8Zr1,2.8293
In2O12S3,3.8882
O5Si1Sr3,3.7832
Cd1H4O4P2,4.468999999999999
As1F1O4Rb1Sc1,4.0264
Au1K1Se5,1.0059
Ga2O4Zn1,2.8549
B1C2Cs1F8,6.3968
In2Te5,0.84
F1H2O1Rb1,5.3182
Cl12Hf1Se2,2.7880000000000003
Cl18H1Li6Zr6,0.9696
B3Li5Na4O9,3.8044
Fe1Sb1V1,0.8366
B1Ca1Li1O3,5.0277
Br18C1K4Zr6,1.177
La6O18Re4,0.4973
Cu1O2Y1,2.7634
Cr1O7P2Rb1,2.82
Ca1H4O6S1,5.283
Ho1P1S4,2.1538
Cu1K2S3Sb1,1.4505
O3Rb1Ta1,3.717
B1Cd1Li1O3,2.2141
Ca1O3Zr1,3.8241
Al10Ba2H2O18,1.8639
Al1Ce1O3,3.6886
Ca3Cr2O12Si3,3.3536
K2O8S2,3.4960000000000004
O4Ti1Zn2,3.1011
Cr1Ge2Na1O6,2.8063
Al14O25Sr4,3.9508
H3O3Tb1,3.5517
Cs1H1,2.3222
C1Cl1N1,5.7867
Br3Cd1H4N1,2.6224
Hg1N6,2.5722
Cr1O4Pb1,1.8163
O8Se2Sr1U1,2.8526
Mo1O3,1.8574
Ge1Mn1Te4Tl2,0.3606
Ce1S2,0.3473
Se4V3,1.0112
B1O5P1Pb1,4.2822
C3Cl3Cs1O3Os1,3.7058
I1O7Sb5,2.5652
B3Li1O5,6.3508
H4Li1N2Rb1,2.3348
Ba2O6Sr1W1,3.0555
Hg1O1,1.1971
Bi2Cd1Ge1O6,1.9139
Cu1S2Sb1,1.0218
Cu1Er1S2,1.9183
Al3Ca2H1O13Si3,5.0422
Dy2Hf2O7,3.2251
In1P1,0.5777
Bi1Na1O2,1.2152
Al4Mg2O18Si5,4.8236
In3Ru1,0.1768
Be1F4Li2,7.5901
Co1O4Se1,2.7538
C1O4Rb4,1.162
Ge1K4O4,2.7865
Cl1N1O6,1.3795
Hg1K6S4,1.7077
Ca5P8,1.1395
Mn1P1S3,1.414
Ge1O3Sr1,3.3222
P2Rb4Se9,1.4233
Co3O8P2,3.5659
S5Sb2Sn2,0.777
Cr2O4Zn1,4.3245
Cd1Dy2Se4,0.619
I12Ru2Te14,0.9308
C2Cl2H10N2Pt1,3.0964
C1Ca1F1K1O3,4.3435
Cl3Cs1Pb1,2.1936
C60Rb6,0.6934
Cl4Os1,1.6392
Ba1La2O14Te5,3.2263
As1La1O4,3.6442
F6S1,6.1255
I1Li1,4.2453
Cr1O4Yb1,0.5105
As2F8O2Rb2,3.6406
C1H3N1O1Si1,5.6253
C6F2H14Mo1N2O4,3.1587
H1K2N1O7S2,4.7385
Ca1O4W1,4.0948
Ba1Li2O4Si1,4.386
Fe2Mn1O4,0.8808
B3Li1S6Sr1,2.9052
Ba2In1Sb1Se5,0.8028
F7Sn1Y1,4.3482
Br14Mo6Pb1,2.4885
Hf1O4Si1,5.3075
N3P1Zn2,3.2646
Au1N12Rb1,1.4977
N5Ta3,1.4467
Br1Tl1,1.9503
Cl3Sb1,3.757
F3K1Zn1,5.183
Li1O2Sc1,4.3532
F4O1Ru1,1.0551
I1K1Ni1O6,1.7027
C2H7N1O1S1,5.0278
Al2Ca3O12Si3,4.9987
O6Ta2V1,0.9949
H16Mg3O16P2,4.9641
Cl12Re2S1,1.4478
C3O11Tl4U1,2.9157
Ce1Cl6Cs2,2.2696
O4P1Y1,5.8066
Au2O4Sr1,1.7725
P11Rb3,1.9336
As2F12N4Se6,1.1967
Na4Ni7O24P6,3.1522
C3Ca2H1Li1,1.2462
As1Bi1O4,2.7352
Ge3Li2Ni1O8,2.8891
H2K1O4P1,5.4042
Ho1K1O8W2,3.5028
Dy1I3O9,3.5304
Ca1H4Mg1Ni1,1.9525
Mn1S2,1.2339
Ba1Co1O3,0.6168
Ba1Se5U2,0.5176
C2Cs2H8Mg1O10,4.4991
O4Sn1Sr2,2.2524
Na4O12Si3Zr2,4.3175
Au1Cl4Tl1,1.8175
F3Ni1Rb1,4.0541
Nd2O7Zr2,3.3495
Au1Ba4Na1O8,1.3663
Mg1Mn2O4,1.7773
O7Pr2Zr2,3.4291
K2Sn1Te5,0.4475
Cr1K1O2,3.3747
P1S4Sn1Tl1,1.8642
H1,8.6119
Br2Ca1,4.6080000000000005
C4Ca1Mg3O12,4.8082
Mn1Te2,0.6153
Ge4S10Tl4,2.0507
Nd2O13Te2W2,3.2012
Cl3Re1,0.8825
B1Co3O5,0.7721
Cr1Ge2Li1O6,2.9579
C5O5P4S3W1,2.3828
Bi6Br2O14Se3,3.0649
Cr1Er3S6,0.5775
Ag3S6Sb2Tl3,1.6108
I1In1,1.3079
I5In1Sn2,1.4196
Bi1Fe1O3,1.894
Br2Ca3Si1,0.319
Al1H4Na1,4.6685
As4Cu6Hg3S12,0.4856
Cl2H8N2O2Pt1,1.969
Ba3O8P2,5.147
F6K1Na1Sn1,4.7017
B2N4Na0.67Sr2.67,1.9733
La1O7Rb1Ta2,2.5243
Ba1Cu1S3Sc1,1.1741
Mn1Sn1Te4Tl2,0.3447
Cr2O12S3,2.7694
F3Pb1Rb1,3.0536
Ag1Tb1Te2,0.8826
Al1Br4Cs1,4.2529
Br2O2Pb3,2.3894
F6Hf1V1,3.2043
Ge3La4S12,2.0406
C2O4Pb1,2.7910000000000004
O8Se2Tb1V1,1.8629
Ag1F6Sb1,3.3702
Cr5Rb1S8,1.2766
F6Rb2Rh1,1.3276
Ge1N2O1Si1,3.5077
F1Nd1O1,3.8471
Cu1O2Sc1,2.6404
Ga1Ge1Li1O4,2.7092
Fe1O4Sb2,1.1798
Ag1Fe1O7P2,2.2346
Li1O5P1Ti1,3.3575
As1Na3S3,2.5147
As2Zn3,0.1506
H3Li1O6Se2,4.2998
Ba2Ca1Cu1F14Fe2,2.9842
O12Rb2Te1W3,2.748
H6Na2O6Sn1,3.0969
H2Mn3Na1O12P3,3.3453
C4Cr1H8N6S4,2.428
Mn1O4Rb1V1,2.7626
O14Tl3V5,2.1645
Cs2F6Mn1,3.2328
Li2O7Ti3,3.4282
I1S1Sb1,1.5262
F12O8Os2Xe2,2.6095
Bi1O4Ta1,3.0015
Ag3C6Cd1N6Rb1,3.4087
B1Nd1O3,3.8737
C5Fe1O5,3.639
I1O6Rb1Sn1,2.0282
O7V2Zr1,2.5788
As2Be2Ca1,0.6583
Au3Ho3Sb4,0.4628
Al6F21Na1Rb2,6.9954
F6Rb1Sb1,4.8996
Dy1I1S1,2.707
Br16Re4Te8,2.0504
Te1,0.1537
Br1K1O3,3.8115
F4Na1Ti1,3.0673
Bi2I1O4Y1,1.4012
Br1Mn1S2Sb1,1.7322
Cl3Cr1O1,1.5642
Al2Cl8Te4,1.3444
Cl4N1V1,1.5830000000000002
K3O14V5,2.254
C12Co2H40N24Ni3O2,3.0424
Ca1Cl1H1O1,5.0124
Na4O5U1,3.2231
C1Cl2F2,5.5222
N2,7.3705
K1N3,4.1587
Cu1Ga1Se2,0.4136
Ag1Cu1O4V1,1.1491
Mn1Mo1O6Te1,2.2871
F2Ti1,2.0332
Ru1Sb2,0.1606
Ca2Sn1,0.0931
Br1F4Rb1,3.3202
Ag1In1S2,0.9229
Cs2O9Si3Sn1,3.3952
Cs2Cu1F6,0.47
Se4Tl3V1,1.7073
K2Te3,0.5325
Au1Cl4K1,1.4873
Ba4S10Zr3,0.4653
Li1Nb1O3,3.4461
Eu1Li1O8S2,0.5193
F3Mg3N1,3.5775
H13N3O8S2,5.2155
Ni1S17U8,1.2199
Gd2O2S1,3.1171
C1H4N2O1,5.0468
I4Nb1,0.5947
Ba2F1N1,1.0927
K3Na1O8Ru2,1.4531
C2Eu1N2S2,2.69
Cl1O1V1,1.6577
C6H12N2S4Sn1,2.859
Cl5P4S6Ta1,2.4423
Au5Cs7O2,1.029
Nb1O4Sb1,2.6167
F1N1O1,3.1789
H2K3O10Si3Tb1,4.6063
As1Cl1Hg3O4,2.0434
C2K1N3,4.672
Cs4F10Zn3,5.6488
Bi1K1Mg1,0.4267
Cr1H13N2O10P2,3.5565
C4Fe2H2O6,2.311
H21Li1N7P1S3,3.0832
C1Cu1F1K1O3,0.5403
O8P2Rb1V1,2.0516
Cu4O3,0.0611
F6N1Re1,2.5538
Cl6Rb3Y1,5.0531
Na1O5Te1V1,3.0306
Cu1Hg1I1S1,0.7517
Ho2Pb3S12Sn3,0.4655
H12O12S2Zn1,5.1797
Ge1I2,1.9843
Ca1Cu1F4,2.7082
Cu1Gd2K1S4,0.9972
Cd1O2,1.419
Br1F3Rb1Sb1,3.7664
In1Li1Mg1Mo3O12,3.1397
Cu3O6Te1,0.6068
Ag1N1O3,2.3493
Ce1P12Ru4,0.3447
Be4N4Sr2,1.8709
Al4H1O14Ta3,3.5159
Au1O1Rb3,0.2744
Ca1Cs1H3,3.1268
Nb1Nd3O7,3.0579
F6K1Sb1,4.8918
Pd1Rb2Te2,0.6299
Ga1O6Sb1Sr2,0.7995
I2Pd1Te1,0.6733
Br3Rb1V1,2.396
Ag1Rb3Se8Sn3,1.2097
As2Si1Zn1,1.1355
Li1N2U1,1.5039
C2Na2Pt1,0.7065
F4Mg1Rb2,6.2313
Ba1Ca1Ga4O8,3.1898
S3Sc1Y1,1.9929
Br1Ca2N1,2.4246
Cs1O2Sb1,2.3556
F1O2Rb1S1,4.0969
O7P2Pb1Pd1,1.7518
Mn1S4Sc2,1.3742
O8Si2Sr2Ti1,4.343999999999999
Fe1H4O6P1,2.1943
Ba2Ir1O6Pr1,0.3826
H8Na6O14P4,3.5943
Cd1Cl4Na2,3.7348
Ba1K1O4V1,3.9652
F6Fe1Li1Mn1,0.7671
As2O8Sr3,3.7986
C1H3K1O6,4.1479
Cu1I1,1.6398
Bi2Ge1O5,2.3255
Cd1N2O6,3.451
H10I1K2Na1O10,2.5124
Cs2Mn1S6Te2,1.7416
Cu3O12Sn4Sr1,0.7267
C6Mn1N6Na1Rb2,1.1888
Cl1Mn1S2Sb1,1.6705
O4P1Sb1,4.01
Ba1C2Ca2F2O6,4.7264
C4Mn1N6,2.2086
C1Ce1F1O3,4.5006
Ho1O4Ta1,4.2955
Be1Cs1F3,5.3516
O7Tb2Ti2,3.2993
Cl8Na2Ti3,2.7851
F1O3P1Rb2,4.3242
